Vector configuration,Milliseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,0.00,125250,126251,2238,126251,745,380735
Sorted N=1000,0.00,1251000,1263529,17448,1262531,7459,3801967
Sorted N=5000,0.00,22379250,22436313,78646,22432317,34160,67360686
Sorted N=10000,0.00,158512500,158765099,317521,158748105,145539,476488764
Descending sorted N=500,6.00,249999,251498,438220,251498,63119,1254334
Descending sorted N=1000,55.00,2499998,2767585,4510778,2640056,631692,13050109
Descending sorted N=5000,1019.00,44749997,47328024,79609864,46067793,11217326,228973004
Descending sorted N=10000,6788.00,316999994,362100064,577354804,339671830,79380053,1675506745
Random N=500,5.00,249439,250906,192535,250906,3077,946863
Random N=1000,48.00,2497899,2642916,1594724,2576629,17508,9329676
Random N=5000,894.00,44706283,45801227,24078256,45282351,87543,159955660
Random N=10000,6007.00,316896943,332973934,167602460,325056882,322553,1142852772
