Vector configuration,Milliseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,1.00,124750,125749,2238,125749,743,379229
Sorted N=1000,7.00,1249500,1262027,17448,1261029,7457,3797461
Sorted N=5000,133.00,22372750,22429811,78646,22425815,34158,67341180
Sorted N=10000,779.00,158496000,158748597,317521,158731603,145537,476439258
Descending sorted N=500,0.00,124750,125749,64612,125749,63117,503977
Descending sorted N=1000,7.00,1374249,1640336,1141820,1512807,631690,6300902
Descending sorted N=5000,155.00,23621748,26193275,16260613,24933044,11217324,102226004
Descending sorted N=10000,1042.00,180866747,225950318,169055092,203522084,79380051,858774292
Random N=500,0.00,124750,125749,4570,125749,3075,383893
Random N=1000,6.00,1373689,1517260,280751,1450973,17506,4640179
Random N=5000,116.00,23619649,24708380,2148847,24189504,87541,74753921
Random N=10000,754.00,180823033,196883867,31825940,188966815,322551,598822206
