Vector configuration,Milliseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,0.00,125750,135277,10248,134280,5253,410808
Sorted N=1000,0.00,1253000,1297060,47460,1293066,24469,3915055
Sorted N=5000,0.00,22387750,22607345,234656,22590354,120670,67940775
Sorted N=10000,2.00,158537500,159268632,779529,159218644,401549,478205854
Descending sorted N=500,0.00,499499,762586,572761,635058,232653,2702557
Descending sorted N=1000,0.00,4997998,7556524,5670494,6296295,2538396,27059707
Descending sorted N=5000,1.00,89491497,134542066,100920879,112113835,45810745,482879022
Descending sorted N=10000,3.00,633958494,951952965,714024746,793283803,333537274,3426757282
Random N=500,0.00,482939,623510,265834,557224,200453,2129960
Random N=1000,0.00,4898899,5974629,2074327,5455755,2082649,20486259
Random N=5000,2.00,87485283,103513115,31619444,95596066,37587642,355801550
Random N=10000,7.00,626249943,733986417,213654943,680445896,271917215,2526254414
